org_id;restaurant_name;n_reviews;n_authors;avg_rating;med_text_len;pct_1_2;pct_5;pct_blank_author;pct_short20;pct_dup_norm_text;year_min;year_max;city;org_type
1008301801;Маки;600;571;3,851667;136.5;24;60.0;4,833333;49,833333;0.0;2017;2025;Казань;Кафе и рестораны
1020047967;Бирхаус;600;576;4,521667;156.0;6,333333;74.666667;4;41,5;0.0;2018;2025;Казань;Кафе и рестораны
1060204347;Маячок;54;51;3,333333;57.0;37,037037;46.296296;5,555556;81,481481;1.851852;2019;2025;Казань;Кафе и рестораны
1070454753;Fey;3;2;5;13.0;0;100.0;33,333333;100;0.0;2020;2025;Казань;Кафе и рестораны
1096394626;Malabar;600;576;4,688333;200.5;4,166667;84.5;4;26,666667;0.0;2017;2025;Казань;Кафе и рестораны
1112542570;Сююмбике;600;567;4,633333;125.5;5;80.333333;;54,333333;0.0;2019;2025;Казань;Кафе и рестораны
1127785118;Танду;408;370;4,294118;102.0;11,764706;69.362745;9,313725;58,823529;1.470588;2018;2025;Казань;Кафе и рестораны
1188015728;Брассерия;480;444;4,385417;85.5;10,416667;71.875;;66,25;1.666667;2017;2025;Казань;Кафе и рестораны
1345777592;Весна;599;572;4,462437;165.0;10,183639;77.796327;4,507513;40,066778;0.0;2018;2025;Казань;Кафе и рестораны
1801125759;Пушечный двор;166;144;3,283133;94.0;37,951807;45.180723;13,253012;62,048193;0.0;2018;2025;Казань;Кафе и рестораны
2200398373;Алтын Чайхана;164;154;4,731707;78.0;4,878049;88.414634;6,097561;69,512195;1.219512;2022;2025;Казань;Кафе и рестораны
3824412015;Соседи;600;521;4,516667;116.0;8;76.166667;13,166667;57,166667;0.166667;2020;2025;Казань;Кафе и рестораны
6789651623;Блинная на набережной;33;32;4,151515;133.0;21,212121;72.727273;3,030303;51,515152;0.0;2025;2025;Казань;Кафе и рестораны
9508255262;Острые козырьки;327;292;4,464832;69.0;11,314985;79.510703;10,703364;72,477064;3.363914;2023;2025;Казань;Кафе и рестораны
11332042527;Love. Ashe;599;566;4,45576;140.0;7,679466;74.624374;5,509182;48,747913;0.0;2022;2025;Казань;Кафе и рестораны
12289791915;Шампур;15;14;3,266667;222.0;40;53.333333;6,666667;33,333333;0.0;2025;2025;Казань;Кафе и рестораны
